,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,lebu,CL,-37.62,-73.65,1596428944,100,95,50.43,8.55
1,hobart,AU,-42.88,147.33,1596429413,20,43,51.01,23.04
2,capao da canoa,BR,-29.75,-50.01,1596428944,49,83,61.83,2.98
3,bluff,NZ,-46.6,168.33,1596429481,100,82,50.77,2.91
4,luderitz,NA,-26.65,15.16,1596429288,0,37,60.8,2.24
5,saint george,US,37.1,-113.58,1596428871,1,8,95.0,3.36
6,rikitea,PF,-23.12,-134.97,1596429263,100,81,72.97,17.07
7,namibe,AO,-15.2,12.15,1596428782,0,68,67.05,6.91
8,butaritari,KI,3.07,172.79,1596429414,82,73,82.83,17.58
9,busselton,AU,-33.65,115.33,1596429481,13,69,57.99,7.49
10,longyearbyen,SJ,78.22,15.64,1596428680,90,100,44.6,2.01
11,castro,BR,-24.79,-50.01,1596429427,0,96,48.52,3.36
12,georgetown,MY,5.41,100.34,1596429481,20,62,89.6,10.29
13,kapit,MY,2.02,112.93,1596428945,76,49,92.66,2.35
14,askoy,NO,60.41,5.23,1596428946,75,93,53.6,16.11
15,lompoc,US,34.64,-120.46,1596428849,90,87,57.2,6.93
16,mar del plata,AR,-38.0,-57.56,1596429272,78,93,48.0,4.7
17,khatanga,RU,71.97,102.5,1596429482,100,55,71.08,8.55
18,mataura,NZ,-46.19,168.86,1596429414,99,88,52.21,0.78
19,arraial do cabo,BR,-22.97,-42.03,1596428946,1,64,68.38,6.11
20,punta arenas,CL,-53.15,-70.92,1596429259,100,78,39.2,16.11
21,bredasdorp,ZA,-34.53,20.04,1596428946,0,100,48.2,8.05
22,namatanai,PG,-3.67,152.43,1596428946,46,74,84.13,9.69
23,progreso,MX,21.28,-89.67,1596428946,1,88,80.64,9.66
24,cidreira,BR,-30.18,-50.21,1596429482,10,84,61.09,2.57
25,flinders,AU,-34.58,150.86,1596429483,100,36,69.01,5.01
26,esmeralda,CU,21.85,-78.12,1596428947,100,100,77.0,5.82
27,husavik,IS,66.04,-17.34,1596429483,90,93,48.2,5.82
28,praia da vitoria,PT,38.73,-27.07,1596428947,75,83,73.4,9.37
29,severomorsk,RU,69.07,33.42,1596428947,75,100,46.4,10.54
30,takapau,NZ,-40.03,176.35,1596428947,96,76,54.0,4.0
31,vaini,TO,-21.2,-175.2,1596429412,75,83,77.0,13.87
32,lilongwe,MW,-13.97,33.79,1596428947,11,88,54.55,4.47
33,pinawa,CA,50.15,-95.88,1596428947,0,64,57.2,3.83
34,indian head,US,38.6,-77.16,1596428947,1,78,80.6,6.17
35,kapaa,US,22.08,-159.32,1596429417,40,74,80.6,14.99
36,gat,IL,31.61,34.76,1596428762,0,52,73.0,3.0
37,hermanus,ZA,-34.42,19.23,1596429406,2,67,57.29,10.8
38,east london,ZA,-33.02,27.91,1596428948,0,15,71.6,9.17
39,bambous virieux,MU,-20.34,57.76,1596429282,75,56,71.01,16.11
40,bathsheba,BB,13.22,-59.52,1596429484,40,78,82.4,11.41
41,new norfolk,AU,-42.78,147.06,1596429484,33,65,51.01,4.0
42,puerto ayora,EC,-0.74,-90.35,1596429484,34,93,68.0,8.52
43,kamenka,RU,51.32,42.77,1596429484,12,74,62.17,6.06
44,tautira,PF,-17.73,-149.15,1596428948,75,74,80.01,5.82
45,ushuaia,AR,-54.8,-68.3,1596429417,75,60,39.2,14.99
46,ostrovnoy,RU,68.05,39.51,1596428948,100,82,50.81,15.17
47,anuradhapura,LK,8.36,80.42,1596428935,100,63,84.9,17.18
48,aykhal,RU,66.0,111.5,1596428949,92,22,78.8,6.71
49,jamestown,US,42.1,-79.24,1596429485,90,93,64.99,9.17
50,vilcun,CL,-38.65,-72.23,1596428949,40,100,46.4,3.36
51,alice springs,AU,-23.7,133.88,1596428949,0,11,78.8,6.93
52,riberalta,BO,-10.98,-66.1,1596428949,12,52,73.18,2.19
53,thompson,CA,55.74,-97.86,1596429485,20,72,62.6,2.24
54,romodanovo,RU,54.43,45.33,1596428949,41,84,58.28,4.38
55,tuktoyaktuk,CA,69.45,-133.04,1596429485,90,100,48.2,4.7
56,coihaique,CL,-45.58,-72.07,1596429485,99,86,37.4,2.24
57,inhambane,MZ,-23.86,35.38,1596428656,75,64,69.8,5.82
58,saveh,IR,35.02,50.36,1596428949,0,13,88.34,10.18
59,gouyave,GD,12.16,-61.73,1596428949,20,79,84.2,13.87
60,albany,US,42.6,-73.97,1596429305,4,86,78.01,4.25
61,broken hill,AU,-31.95,141.43,1596428950,100,22,68.0,11.41
62,kruisfontein,ZA,-34.0,24.73,1596428860,0,27,63.32,12.15
63,iberia,US,29.95,-91.75,1596428950,1,83,78.8,4.21
64,san patricio,MX,19.22,-104.7,1596428950,96,85,81.41,5.26
65,ruteng,ID,-8.61,120.47,1596428950,63,61,73.11,0.56
66,auchi,NG,7.07,6.27,1596428950,100,93,70.45,5.5
67,payson,US,40.04,-111.73,1596428709,1,18,84.2,9.17
68,olinda,BR,-8.01,-34.86,1596428950,40,69,77.0,12.75
69,goya,AR,-29.14,-59.26,1596428950,100,62,71.96,8.1
70,muroto,JP,33.28,134.15,1596428950,75,74,86.0,8.05
71,ambanja,MG,-13.68,48.45,1596428951,20,69,66.2,4.7
72,qaanaaq,GL,77.48,-69.36,1596429261,100,88,36.05,8.03
73,treinta y tres,UY,-33.23,-54.38,1596428951,47,87,62.82,2.06
74,tuatapere,NZ,-46.13,167.68,1596429487,94,75,51.78,1.23
75,bengkulu,ID,-3.8,102.27,1596429487,42,71,83.64,6.71
76,norman wells,CA,65.28,-126.83,1596429487,75,73,73.4,4.7
77,mbalmayo,CM,3.52,11.5,1596428951,75,100,69.8,4.7
78,baruun-urt,MN,46.68,113.28,1596428951,83,72,65.12,14.56
79,kota belud,MY,6.35,116.43,1596428951,20,66,91.4,4.7
80,esperance,AU,-33.87,121.9,1596429449,90,87,59.0,16.11
81,odda,NO,60.07,6.55,1596428952,100,93,54.0,1.01
82,carnarvon,AU,-24.87,113.63,1596429439,30,63,66.2,12.75
83,dikson,RU,73.51,80.55,1596429488,77,78,53.13,15.26
84,lorengau,PG,-2.02,147.27,1596429488,68,76,83.97,12.19
85,westport,US,41.14,-73.36,1596428952,1,78,80.6,13.87
86,qasigiannguit,GL,68.82,-51.19,1596428952,0,75,44.6,1.12
87,zhongxing,CN,33.7,118.68,1596428952,76,71,90.91,10.13
