,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Tempature,Wind Speed
0,Rikitea,PF,-23.12,-134.97,1597027722,16,73,70.54,23.0
1,Saint-François,FR,46.42,3.91,1597027356,89,82,64.4,3.36
2,Vaini,TO,-21.2,-175.2,1597027722,20,78,73.4,8.05
3,Harper,LR,4.38,-7.72,1597027722,34,81,74.41,6.38
4,Tegul'det,RU,57.31,88.17,1597027722,0,55,74.35,5.19
5,Tuktoyaktuk,CA,69.45,-133.04,1597027722,90,87,48.2,17.22
6,Albany,US,42.6,-73.97,1597027723,1,97,77.0,3.33
7,Micheweni,TZ,-4.97,39.83,1597027723,83,85,72.99,9.1
8,Hermanus,ZA,-34.42,19.23,1597027723,3,88,50.0,12.97
9,Svetlaya,RU,46.54,138.33,1597027723,100,93,61.74,3.31
10,Flin Flon,CA,54.77,-101.86,1597027242,100,90,53.49,18.72
11,Dikson,RU,73.51,80.55,1597027723,15,92,42.62,19.04
12,Cape Town,ZA,-33.93,18.42,1597027604,20,93,55.0,5.82
13,Rock Sound,BS,24.9,-76.2,1597027724,29,70,83.62,11.07
14,Hambantota,LK,6.12,81.12,1597027259,75,100,77.0,5.82
15,Bredasdorp,ZA,-34.53,20.04,1597027724,5,93,53.6,10.29
16,Tam Ky,VN,15.57,108.48,1597027564,20,53,95.0,2.24
17,Ushuaia,AR,-54.8,-68.3,1597027581,90,86,33.8,5.82
18,East London,ZA,-33.02,27.91,1597027240,0,45,61.34,23.09
19,Līsakovsk,KZ,52.54,62.49,1597027724,23,81,61.7,9.4
20,Jamestown,US,42.1,-79.24,1597027552,1,83,71.6,4.7
21,Gambēla,ET,8.25,34.58,1597027725,100,86,68.36,2.3
22,Hobart,AU,-42.88,147.33,1597027587,20,57,52.0,3.36
23,Nome,US,64.5,-165.41,1597027238,20,58,55.99,8.05
24,Pevek,RU,69.7,170.31,1597027725,100,76,41.07,6.82
25,Kahului,US,20.89,-156.47,1597027286,20,58,84.2,23.04
26,Banda Aceh,ID,5.56,95.32,1597027243,83,59,87.15,8.1
27,Punta Arenas,CL,-53.15,-70.92,1597027726,96,80,33.8,17.22
28,Hobyo,SO,5.35,48.53,1597027726,2,79,74.12,20.07
29,Vestmannaeyjar,IS,63.44,-20.27,1597027726,100,97,52.74,15.79
30,Omboué,GA,-1.57,9.26,1597027321,94,85,72.32,7.45
31,Chekhov,RU,55.14,37.47,1597027726,0,87,57.2,2.24
32,Port Alfred,ZA,-33.59,26.89,1597027230,12,56,57.36,21.92
33,Haines Junction,CA,60.75,-137.51,1597027349,100,79,51.6,0.83
34,Pochutla,MX,15.74,-96.47,1597027727,100,89,79.0,4.59
35,Lorengau,PG,-2.02,147.27,1597027307,78,68,84.36,3.2
36,Hasaki,JP,35.73,140.83,1597027249,75,70,96.01,4.7
37,Lüderitz,NA,-26.65,15.16,1597027231,0,76,53.6,10.29
38,Kiunga,PG,-6.12,141.29,1597027727,90,80,84.45,2.17
39,Batagay-Alyta,RU,67.8,130.41,1597027728,100,82,42.24,10.22
40,São Filipe,CV,14.9,-24.5,1597027728,44,79,77.72,7.16
41,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1597027309,75,67,60.8,8.95
42,Hithadhoo,MV,-0.6,73.08,1597027728,100,80,81.79,13.29
43,Karatsu,JP,33.44,129.97,1597027728,61,66,86.0,10.0
44,Akureyri,IS,65.68,-18.09,1597027320,100,67,57.2,17.22
45,Hong Kong,HK,22.29,114.16,1597027553,20,66,90.0,9.17
46,Longaví,CL,-35.97,-71.68,1597027728,93,93,48.65,4.52
47,Novy Urengoy,RU,66.08,76.63,1597027728,73,74,57.56,11.68
48,Ribeira Grande,PT,38.52,-28.7,1597027729,28,76,71.74,3.74
49,Chapais,CA,49.78,-74.85,1597027729,1,77,68.0,2.24
50,Smithers,CA,54.78,-127.17,1597027502,75,87,57.2,3.36
51,Ha Giang,VN,22.83,104.98,1597027729,94,64,90.68,3.0
52,Takoradze,GH,4.88,-1.76,1597027729,79,90,72.25,7.45
53,Yulara,AU,-25.24,130.99,1597027729,0,22,69.8,10.29
54,Saint-Philippe,RE,-21.36,55.77,1597027729,46,55,64.4,10.29
55,Longyearbyen,SJ,78.22,15.64,1597027305,100,77,45.48,2.82
56,Barrow,US,71.29,-156.79,1597027227,90,93,41.0,11.41
57,Cabo San Lucas,MX,22.89,-109.91,1597027252,5,51,86.0,8.05
58,Klaksvík,FO,62.23,-6.59,1597027227,98,82,55.4,13.87
59,Yei,SS,4.09,30.68,1597027730,57,94,64.31,1.66
