,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Tempature,Wind Speed
0,Kahului,US,20.89,-156.47,08/13/20,40,65,78.8,9.17
1,Hobart,AU,-42.88,147.33,08/13/20,75,93,51.01,5.82
2,Busselton,AU,-33.65,115.33,08/13/20,10,98,44.01,5.14
3,Sierra Vista,US,31.55,-110.3,08/13/20,1,21,96.01,6.93
4,Rikitea,PF,-23.12,-134.97,08/13/20,0,69,69.21,16.33
5,Pevek,RU,69.7,170.31,08/13/20,99,91,45.1,8.57
6,Jamestown,US,42.1,-79.24,08/13/20,1,44,82.99,8.05
7,Hermanus,ZA,-34.42,19.23,08/13/20,1,81,52.0,14.7
8,Sokoto,NG,13.06,5.24,08/13/20,50,58,85.28,3.31
9,Bredasdorp,ZA,-34.53,20.04,08/13/20,0,66,55.4,8.05
10,Magaria,NE,13.0,8.91,08/13/20,76,63,78.67,0.22
11,Tarko-Sale,RU,64.92,77.78,08/13/20,97,88,53.01,21.21
12,Bluff,NZ,-46.6,168.33,08/13/20,42,89,35.01,2.51
13,Cape Town,ZA,-33.93,18.42,08/13/20,20,71,57.99,8.05
14,Longyearbyen,SJ,78.22,15.64,08/13/20,75,71,51.8,8.05
15,Ribeira Grande,PT,38.52,-28.7,08/13/20,20,69,77.0,9.17
16,Tuktoyaktuk,CA,69.45,-133.04,08/13/20,90,76,50.0,8.05
17,Yuzhne,UA,46.62,31.1,08/13/20,0,60,69.8,6.71
18,Kampong Cham,KH,11.99,105.46,08/13/20,100,95,76.21,3.83
19,Mar del Plata,AR,-38.0,-57.56,08/13/20,69,47,57.0,11.41
20,Tiksi,RU,71.69,128.87,08/13/20,99,90,39.36,14.41
21,Lagoa,PT,39.05,-27.98,08/13/20,1,79,72.41,11.14
22,Ystad,SE,55.43,13.82,08/13/20,6,60,69.8,8.05
23,Thompson,CA,55.74,-97.86,08/13/20,90,77,69.8,4.7
24,Castro,BR,-24.79,-50.01,08/13/20,100,85,62.4,4.9
25,Punta Arenas,CL,-53.15,-70.92,08/13/20,75,55,37.4,10.29
26,Garissa,KE,-0.45,39.64,08/13/20,95,47,78.76,22.32
27,Bethel,US,41.37,-73.41,08/13/20,75,57,82.99,6.93
28,Auki,SB,-8.77,160.7,08/13/20,91,78,78.4,4.43
29,Mandeville,JM,18.04,-77.51,08/13/20,40,74,87.8,21.92
30,Santa Maria,BR,-29.68,-53.81,08/13/20,90,93,55.4,4.7
31,Chokurdakh,RU,70.63,147.92,08/13/20,100,87,35.42,7.31
32,Barrow,US,71.29,-156.79,08/13/20,40,87,48.2,13.87
33,Safi,MA,32.3,-9.24,08/13/20,0,77,72.01,20.58
34,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,08/13/20,40,93,50.0,11.18
35,Fonte Boa,BR,-2.5,-66.27,08/13/20,43,45,94.19,4.68
36,Cidreira,BR,-30.18,-50.21,08/13/20,96,91,61.83,10.4
