,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Tempature,Wind Speed
0,Gamboma,CG,-1.88,15.86,1597178918,15,53,81.95,1.01
1,Mount Isa,AU,-20.73,139.5,1597178361,0,61,46.4,6.91
2,Hermanus,ZA,-34.42,19.23,1597178360,30,86,53.01,5.01
3,Atuona,PF,-9.8,-139.03,1597178357,12,70,78.37,16.28
4,Terrace,CA,54.52,-128.6,1597178369,75,67,57.2,2.24
5,Kiryat Gat,IL,31.61,34.76,1597178918,0,79,80.01,1.07
6,Hilo,US,19.73,-155.09,1597178370,75,65,82.4,9.17
7,Mil'kovo,RU,54.72,158.62,1597178360,98,76,57.6,1.05
8,Castro,BR,-24.79,-50.01,1597178382,26,53,67.48,2.91
9,Pisco,PE,-13.7,-76.22,1597178447,20,72,64.4,10.29
10,Cape Town,ZA,-33.93,18.42,1597178085,75,87,55.0,6.93
11,Albany,US,42.6,-73.97,1597178368,51,51,91.99,1.99
12,Esperance,AU,-33.87,121.9,1597178429,90,100,50.0,18.34
13,Manjakandriana,MG,-18.92,47.8,1597178919,20,76,51.8,4.7
14,Jieshi,CN,22.81,115.83,1597178919,100,84,82.13,10.13
15,Butaritari,KI,3.07,172.79,1597178371,67,79,81.14,15.79
16,Teluk Anson,MY,4.03,101.02,1597178920,20,94,78.8,3.36
17,Ushuaia,AR,-54.8,-68.3,1597178363,75,69,37.4,3.36
18,Busselton,AU,-33.65,115.33,1597178364,92,74,52.0,9.37
19,Cabo San Lucas,MX,22.89,-109.91,1597178252,20,66,90.0,9.17
20,Chokurdakh,RU,70.63,147.92,1597178389,99,60,44.8,2.04
21,Tsimmerbude,RU,54.67,20.13,1597178445,0,72,66.2,11.18
22,Yambio,SS,4.57,28.4,1597178378,29,93,68.79,2.15
23,Mitsamiouli,KM,-11.38,43.28,1597178921,0,66,75.13,6.85
24,San Vicente,AR,-26.62,-54.13,1597178921,5,77,64.69,5.21
25,Saldanha,ZA,-33.01,17.94,1597178379,31,76,55.4,3.36
26,Alofi,NU,-19.06,-169.92,1597178395,40,73,75.2,17.22
27,Tuktoyaktuk,CA,69.45,-133.04,1597178391,90,81,50.0,4.7
28,Chamba,IN,32.57,76.13,1597178707,53,68,74.3,2.98
29,Rikitea,PF,-23.12,-134.97,1597178363,93,69,71.37,19.82
30,Biltine,TD,14.53,20.92,1597178921,6,73,79.9,1.9
31,Dikson,RU,73.51,80.55,1597178380,100,74,41.09,23.6
32,Vaini,TO,-21.2,-175.2,1597178357,75,83,73.4,5.82
33,Mataura,NZ,-46.19,168.86,1597178361,92,96,42.01,1.01
34,Mehamn,NO,71.04,27.85,1597178375,75,87,48.2,3.36
35,Saint Paul Harbor,US,57.79,-152.41,1597178380,1,71,55.4,3.36
36,Nome,US,64.5,-165.41,1597178922,40,81,53.01,5.82
37,Zhob,PK,31.34,69.45,1597178922,0,52,83.44,10.22
38,Puerto Ayora,EC,-0.74,-90.35,1597178366,40,69,75.2,20.8
39,New Norfolk,AU,-42.78,147.06,1597178359,100,79,42.01,2.1
40,Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,1597178670,98,39,54.34,9.37
41,Narsaq,GL,60.92,-46.05,1597178411,100,87,44.6,4.7
42,Port Alfred,ZA,-33.59,26.89,1597178367,25,75,57.43,14.47
43,Laguna,US,38.42,-121.42,1597178370,1,47,84.99,12.75
44,Merthyr Tydfil,GB,51.75,-3.38,1597178923,87,80,75.0,4.0
45,Kapaa,US,22.08,-159.32,1597178316,40,74,84.0,12.75
46,Bereda,ES,43.27,-7.54,1597178437,100,99,66.0,4.0
47,Klaksvík,FO,62.23,-6.59,1597178400,100,93,51.8,2.24
48,Airai,TL,-8.93,125.41,1597178421,0,85,57.34,1.57
49,Manado,ID,1.49,124.85,1597178924,20,94,73.4,1.12
50,Longyearbyen,SJ,78.22,15.64,1597178365,75,76,48.2,1.12
51,Yellowknife,CA,62.46,-114.35,1597178360,75,56,69.8,14.99
52,Avarua,CK,-21.21,-159.78,1597178377,25,56,73.4,12.75
53,Vao,NC,-22.67,167.48,1597178439,15,72,69.01,15.55
54,Matara,LK,5.95,80.54,1597178924,88,87,78.01,11.52
55,Kruisfontein,ZA,-34.0,24.73,1597178375,1,74,57.99,15.39
56,Leningradskiy,RU,69.38,178.42,1597178424,97,82,39.78,3.85
57,Qaqortoq,GL,60.72,-46.03,1597178925,100,87,44.6,4.7
58,Alice Springs,AU,-23.7,133.88,1597178285,0,93,51.8,6.93
59,Namatanai,PG,-3.67,152.43,1597178925,85,81,79.75,6.13
60,Ariquemes,BR,-9.91,-63.04,1597178755,0,21,97.27,0.34
61,Bambous Virieux,MU,-20.34,57.76,1597178392,75,60,68.0,4.7
62,Forsytheganj,BY,52.63,29.73,1597178404,37,90,55.35,6.82
63,South Sioux City,US,42.47,-96.41,1597178781,1,57,82.99,8.05
64,Port Macquarie,AU,-31.43,152.92,1597178926,100,97,48.99,5.84
65,Ammon,US,43.47,-111.97,1597178926,1,18,86.0,12.75
66,Kieta,PG,-6.22,155.63,1597178386,95,78,79.39,2.44
67,Coruripe,BR,-10.13,-36.18,1597178689,0,82,72.72,7.05
68,Havøysund,NO,71.0,24.66,1597178397,75,87,50.0,1.12
69,Punta Arenas,CL,-53.15,-70.92,1597178197,75,86,37.4,25.28
70,George Town,MY,5.41,100.34,1597178300,20,88,80.6,2.68
71,Melo,UY,-32.37,-54.18,1597178927,100,57,45.95,4.34
72,Saint-Philippe,RE,-21.36,55.77,1597178366,40,55,66.2,12.75
73,Salalah,OM,17.02,54.09,1597178404,90,94,77.0,6.93
74,Pochutla,MX,15.74,-96.47,1597178927,90,62,89.6,9.28
75,Rawson,AR,-43.3,-65.1,1597178927,88,42,54.46,17.2
76,Port Augusta,AU,-32.5,137.77,1597178318,40,93,51.8,12.75
77,Boddam,GB,57.47,-1.78,1597178379,90,93,62.01,5.82
78,Jamestown,US,42.1,-79.24,1597178097,90,69,79.0,11.41
79,Iberia,US,29.95,-91.75,1597178928,1,56,93.2,11.41
80,Iskateley,RU,67.68,53.15,1597178928,100,92,45.68,12.17
81,Hong Kong,HK,22.29,114.16,1597178335,40,79,86.0,10.29
82,Hobart,AU,-42.88,147.33,1597178209,100,87,43.0,8.05
83,Puerto Peñasco,MX,31.32,-113.53,1597178928,0,77,90.0,14.0
84,Clyde River,CA,70.47,-68.59,1597178389,90,93,42.8,19.46
